"4,853,875"
"737,709"
"6,817,565"
"2,977,853"
"38,993,940"
"5,448,819"
"3,584,730"
"944,076"
"670,377"
"20,244,914"
"10,199,398"
"1,425,157"
"1,652,828"
"12,839,047"
"6,612,768"
"3,121,997"
"2,906,721"
"4,424,611"
"4,668,960"
"1,329,453"
"5,994,983"
"6,784,240"
"9,917,715"
"5,482,435"
"2,989,390"
"6,076,204"
"1,032,073"
"1,893,765"
"2,883,758"
"1,330,111"
"8,935,421"
"2,080,328"
"19,747,183"
"10,035,186"
"756,835"
"11,605,090"
"3,907,414"
"4,024,634"
"12,791,904"
"1,055,607"
"4,894,834"
"857,919"
"6,595,056"
"27,429,639"
"2,990,632"
"626,088"
"8,367,587"
"7,160,290"
"1,841,053"
"5,767,891"
"586,555"
